2.20,-0.25,9.59,22.75,0.00
-8.04,-2.28,-3.79,24.25,0.00
-6.38,-1.56,7.41,23.75,0.07
-6.36,-1.53,7.36,23.50,0.10
-6.40,-1.55,7.35,23.50,0.12
-6.38,-1.56,7.43,23.75,0.10
-6.40,-1.58,7.41,23.25,0.07
-6.37,-1.53,7.40,23.25,0.05
-6.35,-1.54,7.41,23.50,0.07
-6.39,-1.54,7.42,23.25,0.07
-6.39,-1.54,7.44,23.25,0.07
-6.43,-1.53,7.35,23.50,0.05
-6.34,-1.58,7.44,23.25,0.15
-6.39,-1.55,7.40,23.50,0.07
-6.37,-1.55,7.38,23.50,0.07
-6.39,-1.58,7.38,23.50,0.07
-6.37,-1.57,7.40,23.50,0.17
-6.34,-1.58,7.35,23.25,0.07
-6.39,-1.51,7.40,24.00,0.07
-6.40,-1.56,7.42,23.75,0.05
-6.38,-1.54,7.41,23.25,0.07
-6.39,-1.59,7.38,23.25,0.07
-6.37,-1.57,7.29,23.75,0.95
-6.57,-1.04,7.72,23.50,0.00
-6.32,-1.84,7.18,23.25,0.00
-6.39,-1.70,7.36,23.25,0.00
-6.34,-1.89,7.21,23.25,0.00
-6.41,-1.85,7.46,23.00,0.00
-6.35,-1.45,7.71,23.50,0.00
-6.25,-1.59,7.47,23.50,0.00
-6.37,-1.60,7.51,23.50,0.00
-6.25,-1.42,7.58,23.50,0.00
-6.59,-1.65,8.22,23.50,0.00
-6.42,-1.29,7.88,23.25,0.00
-6.41,-1.36,7.80,23.25,0.00
-6.34,-1.34,7.64,23.75,0.00
-6.31,-3.03,7.48,23.25,0.00
-6.32,-1.65,7.41,23.50,0.00
-6.36,-1.50,7.58,23.25,0.00
-6.22,-1.57,7.46,22.75,0.00
-6.32,-1.50,7.46,23.00,0.00
-6.36,-1.66,7.51,23.25,0.00
-6.26,-2.25,6.50,23.50,0.00
-6.18,-1.40,7.47,23.50,0.00
-6.23,-1.40,7.54,23.75,0.00
-6.40,-1.64,7.47,23.50,0.00
-7.07,-2.00,7.56,23.50,0.00
-6.38,-1.35,7.59,23.50,0.00
-6.24,-1.42,7.50,23.50,0.00
-7.53,-2.96,7.49,23.25,0.00
-6.93,-1.46,7.89,23.25,0.00
-6.41,-1.41,7.62,23.75,0.00
-6.34,-1.50,7.42,23.75,0.00
-6.37,-1.50,7.43,23.25,0.00
-6.36,-1.59,7.41,23.25,0.00
-6.38,-1.51,7.47,23.75,0.00
-6.37,-1.60,7.33,23.50,0.00
-6.35,-1.57,7.42,23.75,0.00
-6.36,-1.56,7.39,23.00,0.00
-6.39,-1.56,7.40,23.50,0.00
-6.36,-1.57,7.44,23.50,0.00
-6.43,-1.73,7.20,23.25,0.00
-6.45,-1.65,7.34,23.50,0.00
-6.08,-1.63,7.72,23.50,0.00
-6.08,-1.30,7.90,23.75,0.00
-6.31,-1.20,7.81,23.50,0.00
-6.36,-1.42,7.66,23.25,0.00
-7.69,-2.30,7.45,23.25,0.00
-7.23,-2.99,7.00,23.50,0.00
-6.50,-1.81,7.03,23.50,0.00
-6.13,-1.55,7.16,23.75,0.00
-6.28,-1.51,7.57,23.25,0.00
-6.34,-1.53,7.59,23.75,0.00
-5.90,-1.65,7.38,23.25,0.00
-6.45,-2.26,6.75,23.50,0.00
-5.99,-1.46,7.51,23.50,0.00
-6.31,-1.48,7.63,23.50,0.00
-6.35,-1.61,7.53,23.75,0.00
-6.30,-1.78,7.23,23.50,0.00
-6.21,-1.63,7.67,23.50,0.00
-6.40,-1.40,7.68,23.50,0.00
-6.40,-1.50,7.51,23.25,0.00
-6.51,-1.78,7.15,23.00,0.00
-6.31,-1.57,7.42,23.25,0.00
-6.40,-1.59,7.42,23.25,0.00
-6.35,-1.55,7.40,23.25,0.00
-6.37,-1.55,7.49,23.00,0.00
-6.38,-1.56,7.40,23.50,0.00
-6.33,-1.55,7.36,23.75,0.00
-6.35,-1.57,7.38,23.25,0.00
